date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2026-01-27,SELL,CSCO,58.0,77.9643,4521.93,-0.0461,score=-0.05 <= exit_thr=+0.00,27436.17,114897.28
2026-01-27,BUY,GOOG,9.0,334.5628,3011.07,0.5777,score=+0.58 sector=mega_cap_tech,24423.6,114895.78
2026-01-28,SELL,QQQ,92.0,631.7283,58119.01,-0.0219,score=-0.02 <= exit_thr=+0.00,82513.54,115276.02
2026-01-28,BUY,QQQ,91.0,631.7283,57487.28,-0.0219,benchmark core target=50%,24997.52,115247.27
2026-01-28,BUY,ADI,6.0,315.7736,1894.64,0.5638,score=+0.56 sector=semiconductors,23101.93,115246.33
2026-01-29,SELL,QQQ,91.0,627.9473,57143.2,-0.0319,score=-0.03 <= exit_thr=+0.00,80216.56,114957.92
2026-01-29,BUY,QQQ,91.0,627.9473,57143.2,-0.0319,benchmark core target=50%,23044.79,114929.35
2026-01-30,STOP,MPWR,3.0,1120.1978,3360.59,,trailing lock hw=23.73% now=17.56%,26403.7,113682.45
2026-01-30,STOP,COHR,18.0,212.18,3819.24,,trailing lock hw=24.19% now=19.16%,30221.03,113680.54
2026-01-30,SELL,IBM,12.0,302.7332,3632.8,-0.3574,score=-0.36 <= exit_thr=+0.00,33852.01,113678.72
2026-01-30,BUY,EA,16.0,203.5348,3256.56,0.577,score=+0.58 sector=other,30593.83,113677.09
2026-02-02,BUY,BKSY,148.0,21.41,3168.68,0.5559,score=+0.56 sector=space_defense,27423.56,114206.16
2026-02-03,STOP,ISRG,8.0,478.88,3831.04,,stop pl=-9.05% vs -7.11%,31252.69,112894.6
2026-02-03,STOP,FLYW,362.0,11.29,4086.98,,stop pl=-16.18% vs -12.00%,35337.62,112892.55
2026-02-03,BUY,ONTO,15.0,199.94,2999.1,0.5541,score=+0.55 sector=semiconductors,32337.03,112891.05
2026-02-04,STOP,BKSY,148.0,21.14,3128.72,,trailing lock hw=10.70% now=-1.26%,35464.18,111244.31
2026-02-04,BUY,QQQ,1.0,604.3231,604.32,0.5604,benchmark core target=50%,34859.56,111244.0
2026-02-04,BUY,EA,4.0,196.4682,785.87,0.7153,score=+0.72 sector=other,34073.29,111243.61
2026-02-04,BUY,ON,57.0,62.06,3537.42,0.6444,score=+0.64 sector=semiconductors,30534.1,111241.84
2026-02-04,BUY,LSCC,43.0,81.79,3516.97,0.6372,score=+0.64 sector=semiconductors,27015.37,111240.08
2026-02-05,STOP,QQQ,92.0,595.6237,54797.38,,stop pl=-5.11% vs -4.14%,81785.35,110278.74
2026-02-05,SELL,AXP,9.0,352.5374,3172.84,-0.1605,score=-0.16 <= exit_thr=+0.00,84956.6,110277.16
2026-02-05,BUY,QQQ,92.0,595.6237,54797.38,0.8565,benchmark core target=50%,30131.83,110249.76
2026-02-05,BUY,PL,161.0,20.43,3289.23,0.599,score=+0.60 sector=space_defense,26840.95,110248.12
2026-02-05,BUY,LUNR,217.0,14.79,3209.43,0.5834,score=+0.58 sector=space_defense,23629.92,110246.51
2026-02-06,BUY,AKAM,11.0,95.08,1045.88,0.5928,score=+0.59 sector=cloud_infra,22583.51,112861.21
2026-02-10,STOP,PL,161.0,22.79,3669.19,,trailing lock hw=17.57% now=11.55%,26250.87,113778.04
2026-02-10,STOP,LUNR,217.0,18.62,4040.54,,trailing lock hw=31.51% now=25.90%,30289.39,113776.02
2026-02-10,BUY,QQQ,1.0,610.0295,610.03,0.2613,benchmark core target=50%,29679.05,113775.71
2026-02-10,BUY,GOOGL,3.0,318.1658,954.5,0.7506,score=+0.75 sector=mega_cap_tech,28724.08,113775.24
2026-02-10,BUY,GOOG,4.0,318.2142,1272.86,0.7499,score=+0.75 sector=mega_cap_tech,27450.59,113774.6
2026-02-12,STOP,LSCC,43.0,99.8,4291.4,,trailing lock hw=29.32% now=22.02%,31739.84,112907.61
2026-02-12,BUY,QQQ,1.0,599.2251,599.23,0.3727,benchmark core target=50%,31140.32,112907.31
2026-02-13,BUY,ROK,3.0,391.7967,1175.39,0.7989,score=+0.80 sector=robotics,29964.34,113282.94
2026-02-13,BUY,BE,22.0,139.74,3074.28,0.5673,score=+0.57 sector=ai_infra,26888.52,113281.4
2026-02-17,STOP,GOOGL,13.0,301.6273,3921.16,,stop pl=-8.44% vs -8.11%,30807.72,113165.59
2026-02-17,STOP,GOOG,13.0,302.4248,3931.52,,stop pl=-8.23% vs -7.97%,34737.27,113163.62
2026-02-19,STOP,ON,57.0,68.09,3881.13,,trailing lock hw=16.36% now=9.72%,38616.46,113662.99
2026-02-20,STOP,ONTO,15.0,216.41,3246.15,,trailing lock hw=12.70% now=8.24%,41860.99,113712.51
2026-02-20,STOP,AKAM,11.0,94.17,1035.87,,trailing lock hw=17.54% now=-0.96%,42896.34,113712.0
2026-02-20,STOP,BE,22.0,147.55,3246.1,,trailing lock hw=13.78% now=5.59%,46140.82,113710.37
2026-02-20,BUY,GOOGL,12.0,314.5705,3774.85,0.7052,score=+0.71 sector=mega_cap_tech,42364.08,113708.49
2026-02-20,BUY,GOOG,12.0,314.489,3773.87,0.7045,score=+0.70 sector=mega_cap_tech,38588.33,113706.6
2026-02-20,BUY,NXPI,13.0,230.2896,2993.77,0.5643,score=+0.56 sector=semiconductors,35593.07,113705.1
2026-02-23,SELL,QQQ,94.0,599.9932,56399.36,-0.2354,score=-0.24 <= exit_thr=+0.00,91964.23,112783.4
2026-02-23,BUY,QQQ,93.0,599.9932,55799.37,-0.2354,benchmark core target=50%,36136.96,112755.5
2026-02-23,BUY,ONTO,15.0,213.24,3198.6,0.5742,score=+0.57 sector=semiconductors,32936.76,112753.9
2026-02-24,SELL,QQQ,93.0,606.438,56398.74,-0.06,score=-0.06 <= exit_thr=+0.00,89307.3,113727.35
2026-02-24,BUY,QQQ,93.0,606.438,56398.74,-0.06,benchmark core target=50%,32880.36,113699.15
2026-02-25,SELL,EA,20.0,201.7892,4035.78,-0.0545,score=-0.05 <= exit_thr=+0.00,36914.13,114604.51
2026-02-25,SELL,QQQ,93.0,615.2273,57216.14,-0.2491,score=-0.25 <= exit_thr=+0.00,94101.66,114575.91
2026-02-25,BUY,QQQ,93.0,615.2273,57216.14,-0.2491,benchmark core target=50%,36856.91,114547.3
2026-02-25,BUY,TXN,15.0,212.8186,3192.28,0.5594,score=+0.56 sector=semiconductors,33663.04,114545.7
2026-02-26,SELL,QQQ,93.0,607.8048,56525.85,-0.4698,score=-0.47 <= exit_thr=+0.00,90160.62,113584.21
2026-02-26,BUY,QQQ,93.0,607.8048,56525.85,-0.4698,benchmark core target=50%,33606.51,113555.95
2026-02-27,SELL,ROK,11.0,406.197,4468.17,-0.0663,score=-0.07 <= exit_thr=+0.00,38072.44,113338.05
2026-02-27,SELL,QQQ,93.0,605.8594,56344.92,-0.3139,score=-0.31 <= exit_thr=+0.00,94389.19,113309.88
2026-02-27,BUY,QQQ,93.0,605.8594,56344.92,-0.3139,benchmark core target=50%,38016.1,113281.71
2026-03-02,SELL,QQQ,93.0,606.6575,56419.15,-0.2362,score=-0.24 <= exit_thr=+0.00,94407.04,113153.23
2026-03-02,BUY,QQQ,93.0,606.6575,56419.15,-0.2362,benchmark core target=50%,37959.68,113125.02
2026-03-02,BUY,ASML,2.0,1420.4375,2840.88,0.564,score=+0.56 sector=ai_infra,35117.38,113123.6
2026-03-03,STOP,ADI,6.0,338.064,2028.38,,trailing lock hw=13.59% now=7.06%,37144.75,111863.61
2026-03-03,SELL,QQQ,93.0,600.1629,55815.15,-0.2716,score=-0.27 <= exit_thr=+0.00,92932.0,111835.71
2026-03-03,BUY,QQQ,93.0,600.1629,55815.15,-0.2716,benchmark core target=50%,37088.94,111807.8
2026-03-03,BUY,STX,8.0,356.7429,2853.94,0.5515,score=+0.55 sector=cloud_infra,34233.57,111806.37
2026-03-04,SELL,QQQ,93.0,609.3113,56665.95,-0.048,score=-0.05 <= exit_thr=+0.00,90871.18,112870.96
2026-03-04,BUY,QQQ,92.0,609.3113,56056.64,-0.048,benchmark core target=50%,34786.52,112842.93
2026-03-04,BUY,ASML,1.0,1396.3202,1396.32,0.7706,score=+0.77 sector=ai_infra,33389.5,112842.23
2026-03-04,BUY,ON,62.0,62.53,3876.86,0.6977,score=+0.70 sector=semiconductors,29510.7,112840.29
2026-03-04,BUY,TSM,9.0,355.6029,3200.43,0.5729,score=+0.57 sector=ai_infra,26308.68,112838.69
2026-03-04,BUY,WDC,12.0,261.1069,3133.28,0.5713,score=+0.57 sector=cloud_infra,23173.83,112837.12
2026-03-04,BUY,JBL,2.0,255.1224,510.24,0.5627,score=+0.56 sector=other,22663.33,112836.87
2026-03-05,SELL,GOOG,12.0,300.5173,3606.21,-0.102,score=-0.10 <= exit_thr=+0.00,26267.73,111964.15
2026-03-05,SELL,QQQ,92.0,607.4755,55887.75,-0.3832,score=-0.38 <= exit_thr=+0.00,82127.54,111936.21
